placeholder,text
leap-id,liv_021123
title-without-date,James Chuma
title-double-quotes-to-single,
title-with-date,"James Chuma, [1874?]"
first-author-surname-forename-dates,Maull & Co.
first-author-surname-forename,Maull & Co.
first-author-forename-surname,Maull & Co.
second-author-surname-forename-dates,
second-author-forename-surname,
url-of-source,
formal-name-of-source,
license-statement,"Copyright David Livingstone Centre. Object image(s) used by permission. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust."
license-url,
license,
repository-country,United Kingdom
repository-city,Blantyre
repository-name,David Livingstone Centre
shelfmark,BLTDL 20661 [previously 81c]
first-author-initials,MC
composition-or-publication,composition
composition-or-publication-yyyy-mm-dd,1874
composition-or-publication-day-month-year,[1874?]
composition-place,London
revision-yyyy-mm-dd,2023-09-02
img-alt-text,"Chuma, standing, in traditional waist covering, with long bow and arrow."
figure-caption,James Chuma
figure-date,1874?
leap-id-with-suffix,liv_021123_ART
